type,annotations.gid,annotations.euid,annotations.children pid namespace,annotations.pid,annotations.seen time,annotations.source,annotations.net namespace,annotations.ipc namespace,annotations.ppid,annotations.pid namespace,annotations.uid,annotations.egid,annotations.exe,annotations.mount namespace,annotations.name,annotations.user namespace,annotations.path,annotations.subtype,annotations.permissions,annotations.epoch,annotations.version,annotations.memory address,annotations.size,annotations.tgid,annotations.start time,annotations.ns pid,annotations.read fd,annotations.write fd,annotations.cwd,annotations.command line,annotations.fd,annotations.root path
Artifact,,,,,,syscall,,,,,,,,,,,/sys/devices/virtual/block/loop17,directory,0755,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e40375000,1000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/devices/virtual/block/loop17/uevent,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/run/udev/data/b7:17,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/dev/block/7:16,link,0777,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e41869000,967,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e41869000,392,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/devices/virtual/block/loop16,directory,0755,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/devices/virtual/block/loop16/uevent,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/run/udev/data/b7:16,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/lib/x86_64-linux-gnu/libpcre.so.3,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8d738000,270108,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8d7a8000,1ff000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8d9a7000,2000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8fe38000,2000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8fe35000,3000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8f0ef000,4000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8f9a1000,1000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8d9a7000,1000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8dbbc000,1000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8df5a000,1000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8ed06000,1000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8e178000,1000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8f566000,1000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8e39e000,1000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8e6b6000,2000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8e8d8000,1000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8eafe000,1000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8f35e000,1000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8f786000,1000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8fc26000,3000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/dev/block/7:18,link,0777,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/devices/virtual/block/loop18,directory,0755,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/devices/virtual/block/loop18/uevent,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/run/udev/data/b7:18,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/dev/block/7:19,link,0777,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/devices/virtual/block/loop19,directory,0755,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/devices/virtual/block/loop19/uevent,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/run/udev/data/b7:19,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/dev/block/7:20,link,0777,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/devices/virtual/block/loop20,directory,0755,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/devices/virtual/block/loop20/uevent,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/run/udev/data/b7:20,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/dev/block/7:21,link,0777,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/devices/virtual/block/loop21,directory,0755,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/devices/virtual/block/loop21/uevent,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/run/udev/data/b7:21,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/dev/block/7:22,link,0777,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/devices/virtual/block/loop22,directory,0755,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/devices/virtual/block/loop22/uevent,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/run/udev/data/b7:22,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/dev/block/7:23,link,0777,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/devices/virtual/block/loop23,directory,0755,0,0,,,,,,,,,,,
