type,annotations.pid,annotations.source,from,to,annotations.time,annotations.operation,annotations.flags,annotations.protection,annotations.advice,annotations.mode
Used,,syscall,c04d1a0844fafc2228af9e69202f5810,88cd5a7ee47fdc85dea662449c90e238,1679540190.880,open,O_RDONLY,,,
Used,,syscall,c04d1a0844fafc2228af9e69202f5810,2940488a0e3c1b3238183afaeb05a262,1679540190.880,close,,,,
Used,,syscall,c04d1a0844fafc2228af9e69202f5810,35efe92d04454ec3e869c4cd6ff23db6,1679540190.880,open,O_RDONLY,,,
Used,,syscall,c04d1a0844fafc2228af9e69202f5810,88cd5a7ee47fdc85dea662449c90e238,1679540190.880,close,,,,
Used,,syscall,c04d1a0844fafc2228af9e69202f5810,ceb21fd09c6ad0f4289f45db31ca1fdf,1679540190.880,open,O_RDONLY,,,
Used,,syscall,c04d1a0844fafc2228af9e69202f5810,35efe92d04454ec3e869c4cd6ff23db6,1679540190.880,close,,,,
Used,,syscall,c04d1a0844fafc2228af9e69202f5810,d104f99d46908af9941701768e85d647,1679540190.880,open,O_RDONLY,,,
Used,,syscall,c04d1a0844fafc2228af9e69202f5810,d104f99d46908af9941701768e85d647,1679540190.880,close,,,,
Used,,syscall,c04d1a0844fafc2228af9e69202f5810,35efe92d04454ec3e869c4cd6ff23db6,1679540190.880,open,O_RDONLY,,,
Used,,syscall,c04d1a0844fafc2228af9e69202f5810,ceb21fd09c6ad0f4289f45db31ca1fdf,1679540190.880,close,,,,
Used,,syscall,c04d1a0844fafc2228af9e69202f5810,88cd5a7ee47fdc85dea662449c90e238,1679540190.880,open,O_RDONLY,,,
Used,,syscall,c04d1a0844fafc2228af9e69202f5810,35efe92d04454ec3e869c4cd6ff23db6,1679540190.880,close,,,,
Used,,syscall,c04d1a0844fafc2228af9e69202f5810,5f712adb3d295463e60c3ec30d8969b6,1679540190.880,open,O_RDONLY,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,b42ec20531eb297f8f696d92987f146f,1679540190.880,load,,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,02a4195a9866b7c9eba7405c13110dad,1679540190.880,load,,,,
Used,,syscall,eb27aa4c94620191ac960fd21eeee0bd,2591fb55c8a4b7f30a1f8e1d6f605041,1679540190.880,close,,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,7674ff82f7b427f1429d85c7f25e5fc2,1679540190.880,open,O_RDONLY,,,
Used,,syscall,36556ac5fe32752e4f933fd2e535b598,459f67bb9a3e664261ad395cc4e121dd,1679540190.912,close,,,,
Used,,syscall,36556ac5fe32752e4f933fd2e535b598,459f67bb9a3e664261ad395cc4e121dd,1679540190.912,open,O_RDONLY,,,
Used,,syscall,36556ac5fe32752e4f933fd2e535b598,459f67bb9a3e664261ad395cc4e121dd,1679540190.912,close,,,,
Used,,syscall,36556ac5fe32752e4f933fd2e535b598,459f67bb9a3e664261ad395cc4e121dd,1679540190.912,open,O_RDONLY,,,
Used,,syscall,36556ac5fe32752e4f933fd2e535b598,459f67bb9a3e664261ad395cc4e121dd,1679540190.912,close,,,,
Used,,syscall,36556ac5fe32752e4f933fd2e535b598,459f67bb9a3e664261ad395cc4e121dd,1679540190.912,open,O_RDONLY,,,
Used,,syscall,36556ac5fe32752e4f933fd2e535b598,459f67bb9a3e664261ad395cc4e121dd,1679540190.912,close,,,,
Used,,syscall,36556ac5fe32752e4f933fd2e535b598,459f67bb9a3e664261ad395cc4e121dd,1679540190.912,open,O_RDONLY,,,
Used,,syscall,36556ac5fe32752e4f933fd2e535b598,459f67bb9a3e664261ad395cc4e121dd,1679540190.912,close,,,,
Used,,syscall,36556ac5fe32752e4f933fd2e535b598,8589ac672c64d0de6a1f0629ad609097,1679540190.912,open,O_RDONLY,,,
Used,,syscall,36556ac5fe32752e4f933fd2e535b598,8589ac672c64d0de6a1f0629ad609097,1679540190.912,close,,,,
